Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
AXIO,Teknologi & Telco,117,11.4,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Murah | Pullback_EMA21** | Price>EMA21 | ADX35X | MACD+OBV**,100,52.8,35.2,50.0,UP,100,27.4,ABOVE,CONTINUATION,NONE,BULLISH,4.1,114,118,113,124,130,135,3.4,6.0,1.76,250000,29250000,1000000,RANGING,Bear,Bear,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",23173.25510624703,0.42065309858783656,5495896.666666668,NO,10693563,1251146871.0,0.9,1188173736,5840126500,False,3.2,679306,761619366,89109465822.0,415860807,1.4,0.9,RETAIL_DOMINANT,1188173736,reported,5840126500,683294785536,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,52.78,-0.019
ADMG,Konglomerat & Investasi,218,8.7,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | EMA+HMA** | MACD+OBV** | RSI60*,100,60.0,18.6,66.0,UP,100,60.3,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,13.9,194,218,202,244,263,283,7.3,11.9,1.63,62500,13625000,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",268535.67354376987,0.24169653165963834,3581977.1296296297,YES,5078179,1107043022.0,0.9,564242170,3889179559,False,3.2,638626,361679232,78846072576.0,197484759,1.4,0.9,RETAIL_DOMINANT,564242170,reported,3889179559,847841132544,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,59.97,1.013
SMMA,Konglomerat & Investasi,15600,7.2,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | Overbought- | News_BULLISH*** | EMA+HMA** | MACD+OBV**,100,68.0,24.4,100.0,UP,100,185.5,ABOVE,CONTINUATION,NONE,BULLISH,14.0,13750,15600,15029,16551,17265,17978,3.7,6.1,1.65,1751,27315600,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",2381.6685528298767,0.568218160279985,81059.53159041388,YES,849319,13249376400.0,0.9,94368791,142474368,False,3.2,11060,60490396,943650177600.0,33029076,1.4,0.9,RETAIL_DOMINANT,94368791,reported,142474368,99335572291584,0.3,POSITIVE,1,0.0,TIDAK DIUJI,-2.03,0.59,61.36,-49.54
DSNG,Agrikultur,1755,11.1,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | EMA+HMA** | ADX31X | MACD+OBV** | RSI56*,100,55.7,30.8,52.9,UP,64,120.4,ABOVE,CONTINUATION,NONE,BULLISH,13.6,1635,1860,1650,1930,2061,2192,6.0,10.0,1.67,9523,16712865,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",2779677.930052096,0.07076306334432785,29873027.657342657,YES,24543649,43074103995.0,0.8,3067956173,10599842400,False,1.8,12431796,1969627864,3456696901320.0,1073784660,1.25,0.8,RETAIL_DOMINANT,3067956173,reported,10599842400,18602723901440,0.0,NEUTRAL,2,31.6,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,63.88,70.946
SSIA,Properti & Real Estate,1785,10.5,BUY,C+,Macro_Defensive- | PBV_Murah | News_BULLISH*** | EMA+HMA** | ADX29 | MACD+OBV**,100,70.1,29.3,82.8,UP,100,84.5,ABOVE,CONTINUATION,NONE,BULLISH,43.2,1345,1805,1666,1984,2133,2282,6.7,11.1,1.66,8403,14999355,1000000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",22495915.628822573,0.2058005218581249,105970197.41521895,NO,24820143,44303955255.0,0.9,2757793749,4705249440,False,3.2,21757596,1767745794,3155426242290.0,965227812,1.4,0.9,RETAIL_DOMINANT,2757793749,reported,4705249440,8398869889024,0.15,POSITIVE,1,35.7,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,65.96,102.74
TOTL,Infrastruktur & Konstruksi,1195,8.9,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | EMA* | ADX30X | MACD* | RSI60*,100,60.4,30.3,69.8,UP,100,74.4,ABOVE,CONTINUATION,NONE,BULLISH,21.9,1050,1255,1141,1285,1352,1420,4.5,7.5,1.67,18518,22129010,1000000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",978980.5140825654,0.23912823529500804,22874229.232075114,NO,9350936,11174368520.0,0.9,1038992900,3410000000,False,3.2,4046866,665994449,795863366555.0,363647515,1.4,0.9,RETAIL_DOMINANT,1038992900,reported,3410000000,4074949836800,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-2.03,0.59,62.35,42.763
AKRA,Energi & Tambang,1580,10.4,BUY,C+,Macro_Defensive- | PER_Murah* | EMA+HMA** | ADX30X | MACD+OBV** | RSI69,100,68.7,30.1,100.0,UP,84,140.8,ABOVE,CONTINUATION,NONE,BULLISH,18.1,1325,1580,1511,1696,1782,1869,4.4,7.3,1.66,14492,22897360,1000000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",7691538.436415173,0.16582041156836114,130863863.41284448,NO,59261502,93633173160.0,0.9,6584611378,19799769600,False,3.2,25223890,4220735894,6668762712520.0,2304613982,1.4,0.9,RETAIL_DOMINANT,6584611378,reported,19799769600,31283635814400,0.0,NEUTRAL,1,39.9,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,66.1,53.367
PRDA,Kesehatan,2540,13.6,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Murah | Wyckoff_Absorb*** | Pullback_EMA21** | EMA+HMA**,100,53.8,34.2,64.3,UP,100,50.7,ABOVE,CONTINUATION,NONE,BEARISH,4.5,2470,2570,2465,2665,2759,2853,3.0,4.9,1.63,13333,33865820,1000000,RANGING,Bull,Bear,ACCUMULATION,80,"VOL_SPIKE_STABLE, VPT_RISING",3405.5804537083895,0.034824800979948535,481671.42857142864,YES,2186098,5552688920.0,0.9,242899814,889775500,False,3.2,513760,155698782,395474906280.0,85014934,1.4,0.9,RETAIL_DOMINANT,242899814,reported,889775500,2260029669376,0.0,NEUTRAL,2,0.0,TIDAK DIUJI,-2.03,0.59,53.75,17.019
DMAS,Properti & Real Estate,141,11.0,HINDARI,LOW_LIQ,Macro_Defensive- | Overbought- | PER_Murah* | PBV_Murah | News_BULLISH*** | EMA+HMA**,100,66.4,26.2,80.0,UP,100,129.8,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,7.4,132,141,137,147,152,156,2.8,4.3,1.54,250000,35250000,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",9303378.284534764,0.2196453658379731,203145516.66666663,YES,76462929,10781272989.0,0.9,8495881044,48198111100,False,3.2,37248730,5445859750,767866224750.0,2973558365,1.4,0.9,RETAIL_DOMINANT,8495881044,reported,48198111100,6795933777920,0.3,POSITIVE,5,0.0,TIDAK DIUJI,-2.03,0.59,56.51,0.937
AALI,Agrikultur,8100,12.1,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | PBV_Murah | News_BULLISH*** | EMA* | ADX39X,100,65.4,39.3,69.9,UP,100,66.0,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,14.0,7413,8350,7844,8526,8846,9165,3.2,5.3,1.66,3906,31638600,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",321471.42858475546,0.1467763615879536,4623947.222222232,NO,3128003,25336824300.0,0.8,391000435,1924688333,False,1.8,1646080,251022280,2033280468000.0,136850152,1.25,0.8,RETAIL_DOMINANT,391000435,reported,1924688333,15589976309760,0.1,POSITIVE,3,48.1,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,63.99,234.788
TAPG,Agrikultur,2100,10.1,BUY,C+,Macro_Defensive- | PER_Murah* | EMA+HMA** | ADX38X | MACD+OBV** | RSI66,99,65.6,37.5,62.3,UP,100,131.3,ABOVE,CONTINUATION,NONE,BULLISH,22.8,1725,2100,1979,2301,2453,2604,5.8,9.6,1.66,8264,17354400,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",5793691.719875031,-0.0309122977302081,18212267.37536972,NO,26907338,56505409800.0,0.8,3363417327,19852540000,False,1.8,27698786,2159313925,4534559242500.0,1177196064,1.25,0.8,RETAIL_DOMINANT,3363417327,reported,19852540000,41690333184000,0.1,POSITIVE,4,29.0,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,65.11,88.373
BJBR,Perbankan,870,12.3,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA* | ADX35X,99,62.7,35.3,72.7,UP,100,120.8,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,8.3,815,880,851,901,925,948,2.2,3.6,1.64,52631,45788970,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",349067.6945098354,-0.006957946221213707,-3757463.333333332,YES,17206137,14969339190.0,0.7,2458019674,3106729025,False,0.8,3955330,1580506652,1375040787240.0,860306885,1.09,0.7,RETAIL_DOMINANT,2458019674,reported,3106729025,9153655341056,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,65.74,12.402
BDMN,Perbankan,4240,10.1,BUY,C+,Macro_Defensive- | PER_Murah* | PBV_Murah | EMA+HMA** | ADX44XX | MACD+OBV**,99,75.8,44.3,76.1,UP,100,116.7,ABOVE,CONTINUATION,NONE,BULLISH,97.4,2411,4290,3834,4781,5187,5593,9.6,12.8,1.33,2463,10443120,1000000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",31142288.863878496,0.07153953015443337,23273229.1336802,YES,5660841,24001965840.0,0.8,707605228,22400000,False,1.8,10933530,454282558,1926158045920.0,247661829,1.25,0.8,RETAIL_DOMINANT,707605228,reported,22400000,41439861932032,-0.06,NEGATIVE,5,27.4,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,76.1,417.23
ANJT,Agrikultur,1815,9.1,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Mahal- | VCP_Setup** | EMA* | ADX36X,92,69.9,36.3,96.6,UP,100,75.5,ABOVE,CONTINUATION,NONE,BULLISH,30.8,1490,1815,1747,1928,2012,2097,3.7,6.2,1.68,14705,26689575,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",120371.51985346974,0.16971284822424457,971812.6877828045,NO,98746,179223990.0,0.8,12343364,3354175000,False,1.8,207733,7924441,14382860415.0,4320177,1.25,0.8,RETAIL_DOMINANT,12343364,reported,3354175000,6087827783680,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-2.03,0.59,69.92,57.025
LSIP,Agrikultur,1725,11.1,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | PBV_Murah | EMA* | ADX54XX | MACD+OBV**,86,64.8,54.0,77.3,UP,100,67.5,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,29.0,1440,1785,1633,1879,1994,2110,5.3,8.9,1.68,10869,18749025,1000000,TRENDING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",6245080.56030979,0.1508206108692288,51759703.37908496,NO,19276355,33251712375.0,0.7,2753765050,6819963965,False,0.8,18196663,1770670928,3054407350800.0,963817767,1.09,0.7,RETAIL_DOMINANT,2753765050,reported,6819963965,11764437614592,0.0,NEUTRAL,1,43.4,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,65.94,102.13
ERAA,Consumer & Retail,410,9.4,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA*,84,59.7,16.1,78.9,UP,84,62.6,ABOVE,CONTINUATION,NONE,BULLISH,18.3,360,416,395,435,454,473,3.7,6.1,1.65,66666,27333060,1000000,RANGING,Bull,Bear,ACCUMULATION,60,"VPT_RISING, AD_RISING",6585886.401964551,0.07028363358218338,184176267.06349236,NO,55388667,22709353470.0,0.8,6923583486,15783484900,False,1.8,46844016,4444940599,1822425645590.0,2423254220,1.25,0.8,RETAIL_DOMINANT,6923583486,reported,15783484900,6471228588032,0.0,NEUTRAL,0,16.1,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,66.46,6.264
VIVA,Konglomerat & Investasi,52,9.1,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | Wyckoff_Absorb*** | News_BULLISH*** | EMA*,83,60.7,26.3,69.2,UP,100,64.9,BELOW,CONTINUATION,NONE,BULLISH,89.5,31,59,48,58,63,68,7.7,11.5,1.49,250000,13000000,1000000,TRENDING,Bull,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",3836299.8362826593,-0.10331907848671218,-108331200.0,YES,45829119,2383114188.0,0.5,9165823974,15429450400,False,0.0,39600060,5911956465,307421736180.0,3208038390,0.78,0.5,RETAIL_DOMINANT,9165823974,reported,15429450400,856142053376,0.5,POSITIVE,3,0.0,TIDAK DIUJI,-2.03,0.59,70.28,5.524
